group,instruction_count,percentage
Scalable Vector Extension (SVE) Instructions,10253,0.34
Scalable Matrix Extension (SME) Instructions,48,0.0
Load and Store Instructions,826607,27.66
Barrier Instructions,59,0.0
Branch Instructions,679442,22.74
Control Flow (Non-Branch) Instructions,47941,1.6
Integer Instructions,1325704,44.36
Floating Point Instructions,49713,1.66
Cryptographic Instructions,0,0.0
Advanced SIMD Instructions,48207,1.61
Reserved Instructions,3,0.0
Unknown Instructions,293,0.01
All Instructions,2988270,100.0
